species,year,val
Phylloscopus magnirostris,1970,3.60696959495544
Phylloscopus ogilviegranti,1970,6.38336372375488
Phylloscopus omeiensis,1970,4.51928234100342
Phylloscopus pulcher,1970,3.97188663482666
Phylloscopus ricketti,1970,5.7511830329895
Phylloscopus soror,1970,5.34036016464233
Phylloscopus subaffinis,1970,4.79816627502441
Phylloscopus tenellipes,1970,3.08938932418823
Phylloscopus tephrocephalus,1970,4.95317316055298
Phylloscopus yunnanensis,1970,3.88855147361755
Picumnus innominatus,1970,5.77358627319336
Picus chlorolophus,1970,6.57000827789307
Pitta nympha,1970,6.23526096343994
Platalea minor,1970,4.25480318069458
Pnoepyga immaculata,1970,3.54641580581665
Podiceps auritus,1970,1.93243169784546
Podiceps grisegena,1970,2.37244248390198
Podiceps nigricollis,1970,2.77969908714294
Podoces biddulphi,1970,4.80895090103149
Pomatorhinus schisticeps,1970,6.28948545455933
Pomatorhinus superciliaris,1970,5.90591621398926
Prinia atrogularis,1970,5.46746635437012
Prinia flaviventris,1970,6.75632953643799
Prinia inornata,1970,6.37292194366455
Prunella collaris,1970,2.16102004051209
Prunella himalayana,1970,1.72357940673828
Prunella immaculata,1970,2.56064009666443
Prunella montanella,1970,0.876990795135498
Prunella strophiata,1970,3.14396214485168
Psarisomus dalhousiae,1970,6.2966742515564
Pseudopodoces humilis,1970,1.41098308563232
Psilopogon faber,1970,6.71029567718506
Psilopogon virens,1970,6.05435037612915
Pterorhinus berthemyi,1970,5.89703130722046
Pterorhinus lanceolatus,1970,5.45559644699097
Pterorhinus pectoralis,1970,6.03608369827271
Pterorhinus sannio,1970,6.06021547317505
Pteruthius rufiventer,1970,5.44062471389771
Pteruthius xanthochlorus,1970,4.55663251876831
Ptyonoprogne rupestris,1970,3.27124691009522
Pycnonotus aurigaster,1970,6.36013889312744
Pycnonotus jocosus,1970,6.51687431335449
Pycnonotus sinensis,1970,5.67280387878418
Pycnonotus xanthorrhous,1970,5.66466522216797
Pyrrhula erythaca,1970,4.20077037811279
Pyrrhula nipalensis,1970,5.66544675827026
Rallina eurizonoides,1970,7.02747869491577
Rallus aquaticus,1970,2.55711317062378
Recurvirostra avosetta,1970,2.23916006088257
Regulus regulus,1970,3.72843098640442
Remiz consobrinus,1970,2.76053190231323
Remiz coronatus,1970,2.47637009620667
Rhodospiza obsoleta,1970,3.17544031143189
Rubigula flaviventris,1970,6.67403888702393
Sasia ochracea,1970,6.75284290313721
Saxicola ferreus,1970,5.6097002029419
Sitta cinnamoventris,1970,6.26564836502075
Sitta formosa,1970,5.98371887207031
Sitta villosa,1970,3.41154670715332
Sittiparus varius,1970,3.38530468940735
Spilopelia chinensis,1970,5.62910890579224
Spilopelia senegalensis,1970,2.88045239448547
Spilornis cheela,1970,6.30684280395508
Spinus spinus,1970,1.78027939796448
Spizixos semitorques,1970,5.92435598373413
Spodiopsar cineraceus,1970,2.98453712463379
Spodiopsar sericeus,1970,6.28161239624023
Stachyris humei,1970,5.41623163223267
Staphida torqueola,1970,6.26824378967285
Streptopelia decaocto,1970,3.77415490150452
Sturnia sinensis,1970,6.70191478729248
Sturnus vulgaris,1970,3.13435125350952
Suthora fulvifrons,1970,4.26376008987427
Syrmaticus humiae,1970,6.21569871902466
Syrmaticus reevesii,1970,5.51904678344727
Syrrhaptes paradoxus,1970,2.93974471092224
Tarsiger chrysaeus,1970,3.78052949905396
Tarsiger indicus,1970,4.33575963973999
Temnurus temnurus,1970,7.89169979095459
Tephrodornis virgatus,1970,6.81036949157715
Thalasseus bergii,1970,7.48854780197144
Timalia pileata,1970,6.7571268081665
Tragopan caboti,1970,6.5449333190918
Tragopan temminckii,1970,5.12447166442871
Treron curvirostra,1970,6.66974782943726
Treron sieboldii,1970,6.37064647674561
Treron sphenurus,1970,5.61400127410889
Turdus boulboul,1970,6.33285045623779
Turdus cardis,1970,5.65417146682739
Turdus feae,1970,3.70878767967224
Turdus mandarinus,1970,5.61830186843872
Turdus pilaris,1970,1.45565330982208
Turdus rubrocanus,1970,3.40174627304077
Turdus ruficollis,1970,2.60654020309448
Turdus viscivorus,1970,3.04246926307678
Turnix suscitator,1970,6.44833135604858
Tyto longimembris,1970,6.36456632614136
Urile pelagicus,1970,4.52972221374512
Urosphena squameiceps,1970,2.87393617630005
Vanellus cinereus,1970,2.87450242042542
Vanellus indicus,1970,6.387451171875
Vanellus vanellus,1970,2.62630009651184
Yuhina nigrimenta,1970,5.71265316009522
Zoothera dixoni,1970,4.78729486465454
Zoothera mollissima,1970,2.71282958984375
Zoothera monticola,1970,5.24569988250732
Zosterops erythropleurus,1970,3.10569357872009
Abroscopus albogularis,1971,6.37083435058594
Accipiter gularis,1971,2.73595523834229
