unit_id,share,n_species,province,unit_nm,prov_cn,rank_in_prov
140929,0.00626356735715911,197,Shanxi,岢岚县,山西省,83
140930,0.0081871432018998,197,Shanxi,河曲县,山西省,60
140931,0.00720679015888589,197,Shanxi,保德县,山西省,68
140932,0.00496213753944305,197,Shanxi,偏关县,山西省,108
140981,0.00915036971030698,197,Shanxi,原平市,山西省,46
141002,0.00951107677211974,197,Shanxi,尧都区,山西省,38
141021,0.00846405649678491,197,Shanxi,曲沃县,山西省,58
141022,0.0141906939171484,197,Shanxi,翼城县,山西省,5
141023,0.00683325509248647,197,Shanxi,襄汾县,山西省,74
141024,0.010423103629432,197,Shanxi,洪洞县,山西省,32
141025,0.00689965526681906,197,Shanxi,古县,山西省,73
141026,0.00576293177768538,197,Shanxi,安泽县,山西省,92
141027,0.00474977917921675,197,Shanxi,浮山县,山西省,115
141028,0.00700726155023189,197,Shanxi,吉县,山西省,71
141029,0.00651279196489352,197,Shanxi,乡宁县,山西省,81
141030,0.0050807745767585,197,Shanxi,大宁县,山西省,104
141031,0.0123137221307575,197,Shanxi,隰县,山西省,15
141032,0.00506581249535035,197,Shanxi,永和县,山西省,105
141033,0.0132001171086648,197,Shanxi,蒲县,山西省,7
141034,0.00556910597013843,197,Shanxi,汾西县,山西省,95
141081,0.0061288806967083,197,Shanxi,侯马市,山西省,85
141082,0.0104830020895473,197,Shanxi,霍州市,山西省,31
141102,0.00544254094814487,197,Shanxi,离石区,山西省,99
141121,0.00942133456193727,197,Shanxi,文水县,山西省,39
141122,0.017759076679419,197,Shanxi,交城县,山西省,1
141123,0.00970834582985898,197,Shanxi,兴县,山西省,36
141124,0.0080601510990144,197,Shanxi,临县,山西省,61
141125,0.00908100437712397,197,Shanxi,柳林县,山西省,49
141126,0.00506201881587678,197,Shanxi,石楼县,山西省,106
141127,0.00565530534649645,197,Shanxi,岚县,山西省,94
141128,0.00897652147809012,197,Shanxi,方山县,山西省,51
141129,0.00550098762855054,197,Shanxi,中阳县,山西省,98
141130,0.0050232017363421,197,Shanxi,交口县,山西省,107
141181,0.0054199832848435,197,Shanxi,孝义市,山西省,100
141182,0.00594204432987856,197,Shanxi,汾阳市,山西省,90
150102,0.00884798764195443,183,Inner Mongolia,新城区,内蒙古自治区,59
150103,0.00815801254592763,183,Inner Mongolia,回民区,内蒙古自治区,70
150104,0.00955294146327729,183,Inner Mongolia,玉泉区,内蒙古自治区,48
150105,0.0105168475335333,183,Inner Mongolia,赛罕区,内蒙古自治区,35
150121,0.0124834171903374,183,Inner Mongolia,土默特左旗,内蒙古自治区,15
150122,0.00751816987548545,183,Inner Mongolia,托克托县,内蒙古自治区,81
150123,0.00912900339916408,183,Inner Mongolia,和林格尔县,内蒙古自治区,55
150124,0.00535659618203524,183,Inner Mongolia,清水河县,内蒙古自治区,99
150125,0.0119979959380478,183,Inner Mongolia,武川县,内蒙古自治区,23
150202,0.00875857443705733,183,Inner Mongolia,东河区,内蒙古自治区,60
150203,0.0109711552195962,183,Inner Mongolia,昆都仑区,内蒙古自治区,32
150204,0.00749799731226459,183,Inner Mongolia,青山区,内蒙古自治区,82
150205,0.0071721918198852,183,Inner Mongolia,石拐区,内蒙古自治区,86
150206,0.00662855271443995,183,Inner Mongolia,白云鄂博矿区,内蒙古自治区,91
