grid_id,province,warm_trend_dec,warm_delta_c,tmean_1980_2000,tmean_2002_2024
294,Guizhou,0.13676988761782,0.249620453952666,16.3960320164287,16.6456524703814
295,Guizhou,0.145520410309457,0.268754268819663,16.8468256999576,17.1155799687773
296,Guizhou,0.234398318164225,0.581987561235106,17.2238098515405,17.8057974127756
297,Guangxi,0.240799318765096,0.538975157188165,17.5726193435608,18.111594500749
298,Guangxi,0.224483993789528,0.559454853819354,18.1412701228308,18.7007249766502
299,Guangxi,0.26376810139818,0.586611431166581,19.2039685495316,19.7905799806982
300,Guangxi,0.232433052297534,0.447360307656954,17.0428574056852,17.4902177133422
301,Hunan,0.238779065951371,0.455331172837809,17.7511908288986,18.2065220017364
302,Hunan,0.248967923953653,0.480072419301163,17.575000310701,18.0550727300022
303,Hunan,0.259573992376114,0.503140079596683,17.0222224914838,17.5253625710805
304,Guangdong,0.267731688317887,0.516356158906465,18.1702384059391,18.6865945648456
305,Guangdong,0.277898561499021,0.578071115344375,17.948016130735,18.5260872460794
306,Guangdong,0.280731260069746,0.58214294342768,18.4345240649723,19.0166670084
307,Guangdong,0.286275780928674,0.597705229551231,18.8472225855267,19.444927815078
308,Jiangxi,0.23068729455292,0.458419591003324,19.894841608547,20.3532611995504
309,Jiangxi,0.30747695538785,0.613837150477636,19.2575400083784,19.871377158856
310,Fujian,0.305292072398756,0.615700538360798,18.7027780442011,19.3184785825619
311,Fujian,0.289635462932645,0.618857758797141,18.8373019278996,19.4561596866967
312,Fujian,0.292270542028759,0.621307845523724,19.442460646705,20.0637684922287
313,Fujian,0.18754941175316,0.345531411546112,18.8305558590662,19.1760872706123
314,Fujian,0.283915222240844,0.59739469626264,20.1007940163688,20.6981887126314
315,Fujian,0.288087392198866,0.625483087871388,21.1111114025116,21.736594490383
316,Yunnan,0.284442255462426,0.73008974755197,13.4623018484267,14.1923915959787
317,Yunnan,0.286769895004923,0.720151885613811,13.2182541896427,13.9384060752565
318,Yunnan,0.274220461326049,0.681004123575857,13.4226193011753,14.1036234247512
319,Yunnan,0.292259542681326,0.720686639400082,13.949603480006,14.6702901194061
